position, density-ex, pressure-ex, internal-energy-ex, velocity-ex, zero
0.902000, 1.263820, 0.068209, 0.134926, 0.274897, 0.
0.902500, 1.271887, 0.068340, 0.134328, 0.275139, 0.
0.903000, 1.280015, 0.068472, 0.133733, 0.275380, 0.
0.903500, 1.288206, 0.068604, 0.133140, 0.275623, 0.
0.904000, 1.296459, 0.068738, 0.132550, 0.275865, 0.
0.904500, 1.304786, 0.068873, 0.131963, 0.276109, 0.
0.905000, 1.313178, 0.069009, 0.131378, 0.276353, 0.
0.905500, 1.321634, 0.069146, 0.130796, 0.276597, 0.
0.906000, 1.330156, 0.069283, 0.130217, 0.276842, 0.
0.906500, 1.338755, 0.069422, 0.129640, 0.277087, 0.
0.907000, 1.347421, 0.069562, 0.129066, 0.277333, 0.
0.907500, 1.356155, 0.069703, 0.128495, 0.277579, 0.
0.908000, 1.364957, 0.069845, 0.127926, 0.277826, 0.
0.908500, 1.373839, 0.069988, 0.127360, 0.278073, 0.
0.909000, 1.382791, 0.070133, 0.126796, 0.278321, 0.
0.909500, 1.391814, 0.070278, 0.126235, 0.278569, 0.
0.910000, 1.400908, 0.070424, 0.125676, 0.278818, 0.
0.910500, 1.410086, 0.070572, 0.125120, 0.279068, 0.
0.911000, 1.419337, 0.070720, 0.124566, 0.279318, 0.
0.911500, 1.428661, 0.070870, 0.124015, 0.279568, 0.
0.912000, 1.438059, 0.071021, 0.123466, 0.279819, 0.
0.912500, 1.447546, 0.071173, 0.122920, 0.280070, 0.
0.913000, 1.457108, 0.071326, 0.122376, 0.280322, 0.
0.913500, 1.466747, 0.071480, 0.121835, 0.280575, 0.
0.914000, 1.476464, 0.071636, 0.121296, 0.280828, 0.
0.914500, 1.486272, 0.071792, 0.120760, 0.281081, 0.
0.915000, 1.496160, 0.071950, 0.120226, 0.281335, 0.
0.915500, 1.506128, 0.072109, 0.119694, 0.281590, 0.
0.916000, 1.516176, 0.072270, 0.119164, 0.281845, 0.
0.916500, 1.526321, 0.072431, 0.118637, 0.282101, 0.
0.917000, 1.536549, 0.072594, 0.118113, 0.282357, 0.
0.917500, 1.546860, 0.072758, 0.117590, 0.282613, 0.
0.918000, 1.557256, 0.072923, 0.117070, 0.282871, 0.
0.918500, 1.567752, 0.073090, 0.116553, 0.283128, 0.
0.919000, 1.578334, 0.073258, 0.116037, 0.283387, 0.
0.919500, 1.589005, 0.073427, 0.115524, 0.283646, 0.
0.920000, 1.599763, 0.073598, 0.115013, 0.283905, 0.
0.920500, 1.610627, 0.073770, 0.114505, 0.284165, 0.
0.921000, 1.621581, 0.073943, 0.113999, 0.284426, 0.
0.921500, 1.632626, 0.074117, 0.113494, 0.284687, 0.
0.922000, 1.643765, 0.074293, 0.112992, 0.284948, 0.
0.922500, 1.655012, 0.074471, 0.112493, 0.285210, 0.
0.923000, 1.666354, 0.074649, 0.111996, 0.285473, 0.
0.923500, 1.677793, 0.074829, 0.111500, 0.285737, 0.
0.924000, 1.689328, 0.075011, 0.111007, 0.286000, 0.
0.924500, 1.700977, 0.075194, 0.110516, 0.286265, 0.
0.925000, 1.712726, 0.075378, 0.110027, 0.286530, 0.
0.925500, 1.724575, 0.075564, 0.109541, 0.286795, 0.
0.926000, 1.736525, 0.075751, 0.109056, 0.287061, 0.
0.926500, 1.748596, 0.075940, 0.108574, 0.287328, 0.
0.927000, 1.760770, 0.076131, 0.108094, 0.287595, 0.
0.927500, 1.773049, 0.076323, 0.107615, 0.287863, 0.
0.928000, 1.785435, 0.076516, 0.107139, 0.288131, 0.
0.928500, 1.797946, 0.076711, 0.106665, 0.288400, 0.
0.929000, 1.810565, 0.076908, 0.106193, 0.288670, 0.
0.929500, 1.823295, 0.077106, 0.105723, 0.288940, 0.
