"arc_length","Density","EnergyStagnationDensity","MomentumX"
4.392,0.19115,0.0235212,0.0810385
4.401,0.190033,0.0234499,0.0807787
4.41,0.188921,0.0233786,0.0805182
4.419,0.187812,0.0233073,0.0802569
4.428,0.186708,0.0232361,0.079995
4.437,0.185609,0.023165,0.0797327
4.446,0.184514,0.0230939,0.0794697
4.455,0.183423,0.0230229,0.0792062
4.464,0.182336,0.0229518,0.0789418
4.473,0.181254,0.0228808,0.0786769
4.482,0.180176,0.0228098,0.0784114
4.491,0.179102,0.0227389,0.0781455
4.5,0.178033,0.0226681,0.0778792
4.509,0.176968,0.0225972,0.0776122
4.518,0.175906,0.0225264,0.0773446
4.527,0.174849,0.0224555,0.0770763
4.536,0.173796,0.0223848,0.0768076
4.545,0.172748,0.022314,0.0765385
4.554,0.171704,0.0222433,0.0762691
4.563,0.170664,0.0221727,0.0759991
4.572,0.169628,0.022102,0.0757286
4.581,0.168596,0.0220313,0.0754575
4.59,0.167568,0.0219607,0.0751859
4.599,0.166545,0.0218901,0.074914
4.608,0.165526,0.0218195,0.0746418
4.617,0.164511,0.021749,0.0743693
4.626,0.163501,0.0216784,0.0740962
4.635,0.162494,0.0216079,0.0738227
4.644,0.161491,0.0215373,0.0735486
4.653,0.160492,0.0214668,0.0732742
4.662,0.159497,0.0213963,0.0729996
4.671,0.158507,0.0213259,0.0727247
4.68,0.157521,0.0212555,0.0724496
4.689,0.15654,0.021185,0.072174
4.698,0.155561,0.0211146,0.071898
4.707,0.154587,0.0210441,0.0716215
4.716,0.153617,0.0209737,0.0713448
4.725,0.152651,0.0209033,0.0710679
4.734,0.151689,0.0208329,0.0707908
4.743,0.150732,0.0207626,0.0705136
4.752,0.149778,0.0206922,0.070236
4.761,0.148829,0.0206218,0.069958
4.77,0.147882,0.0205514,0.0696797
4.779,0.14694,0.020481,0.0694011
4.788,0.146002,0.0204107,0.0691223
4.797,0.145069,0.0203403,0.0688435
4.806,0.14414,0.02027,0.0685647
4.815,0.143214,0.0201997,0.0682856
4.824,0.142293,0.0201294,0.0680062
4.833,0.141375,0.0200591,0.0677265
4.842,0.14046,0.0199887,0.0674465
4.851,0.13955,0.0199183,0.0671664
4.86,0.138644,0.019848,0.0668863
4.869,0.137742,0.0197777,0.0666061
4.878,0.136844,0.0197074,0.066326
4.887,0.135951,0.0196372,0.0660457
4.896,0.13506,0.0195669,0.0657651
4.905,0.134174,0.0194965,0.0654843
4.914,0.133291,0.0194262,0.0652034
4.923,0.132412,0.0193558,0.0649223
4.932,0.131537,0.0192855,0.0646413
4.941,0.130666,0.0192152,0.0643603
4.95,0.129799,0.0191449,0.0640794
4.959,0.128936,0.0190747,0.0637985
4.968,0.128077,0.0190044,0.0635175
4.977,0.127222,0.0189341,0.0632363
4.986,0.12637,0.0188637,0.0629549
4.995,0.125521,0.0187934,0.0626734
5.004,0.124677,0.018723,0.062392
5.013,0.123836,0.0186527,0.0621107
5.022,0.123,0.0185824,0.0618296
5.031,0.122167,0.0185121,0.0615486
5.04,0.121339,0.0184419,0.0612676
5.049,0.120514,0.0183716,0.0609866
5.058,0.119692,0.0183013,0.0607054
5.067,0.118874,0.0182309,0.0604242
5.076,0.118059,0.0181605,0.060143
5.085,0.117248,0.0180902,0.0598618
5.094,0.116441,0.0180198,0.0595809
5.103,0.115638,0.0179495,0.0593001
5.112,0.114839,0.0178793,0.0590196
5.121,0.114044,0.017809,0.0587393
5.13,0.113253,0.0177387,0.058459
5.139,0.112464,0.0176684,0.0581786
5.148,0.11168,0.0175981,0.0578983
5.157,0.110898,0.0175277,0.0576179
5.166,0.11012,0.0174573,0.0573377
5.175,0.109346,0.017387,0.0570576
5.184,0.108576,0.0173166,0.0567779
5.193,0.107809,0.0172464,0.0564984
5.202,0.107047,0.0171761,0.0562192
5.211,0.106288,0.0171059,0.0559403
5.22,0.105532,0.0170356,0.0556615
5.229,0.10478,0.0169654,0.0553827
5.238,0.104031,0.016895,0.055104
5.247,0.103286,0.0168247,0.0548254
5.256,0.102544,0.0167543,0.0545469
5.265,0.101805,0.016684,0.0542686
5.274,0.10107,0.0166137,0.0539907
5.283,0.100339,0.0165434,0.0537131
5.292,0.099612,0.0164732,0.053436
5.301,0.0988884,0.016403,0.0531592
5.31,0.0981684,0.0163328,0.0528826
5.319,0.0974518,0.0162626,0.0526063
5.328,0.0967384,0.0161924,0.0523301
5.337,0.0960282,0.0161222,0.0520541
5.346,0.0953212,0.0160519,0.0517782
5.355,0.0946175,0.0159816,0.0515025
5.364,0.0939172,0.0159114,0.0512271
5.373,0.0932205,0.0158411,0.050952
5.382,0.0925274,0.0157709,0.0506774
5.391,0.091838,0.0157008,0.0504033
5.4,0.0911523,0.0156307,0.0501296
5.409,0.0904701,0.0155607,0.0498563
5.418,0.0897914,0.0154906,0.0495834
5.427,0.0891159,0.0154206,0.0493108
5.436,0.0884436,0.0153505,0.0490384
5.445,0.0877743,0.0152805,0.0487662
5.454,0.0871082,0.0152104,0.0484943
5.463,0.0864453,0.0151403,0.0482226
5.472,0.0857856,0.0150702,0.0479512
5.481,0.0851293,0.0150001,0.0476803
5.49,0.0844765,0.0149301,0.0474099
5.499,0.0838274,0.0148602,0.04714
5.508,0.0831818,0.0147903,0.0468707
5.517,0.0825398,0.0147205,0.0466019
5.526,0.0819012,0.0146507,0.0463337
5.535,0.081266,0.014581,0.0460658
5.544,0.0806339,0.0145112,0.0457984
5.553,0.0800049,0.0144415,0.0455313
5.562,0.079379,0.0143718,0.0452645
5.571,0.0787561,0.014302,0.0449981
5.58,0.0781363,0.0142323,0.044732
5.589,0.0775196,0.0141626,0.0444662
5.598,0.0769061,0.0140929,0.044201
5.607,0.0762961,0.0140232,0.0439363
5.616,0.0756895,0.0139537,0.0436723
5.625,0.0750864,0.0138842,0.0434089
5.634,0.0744868,0.0138148,0.0431461
5.643,0.0738907,0.0137455,0.042884
5.652,0.073298,0.0136762,0.0426226
5.661,0.0727086,0.0136071,0.0423617
5.67,0.0721223,0.0135379,0.0421014
5.679,0.0715391,0.0134688,0.0418415
5.688,0.0709589,0.0133997,0.041582
5.697,0.0703816,0.0133306,0.0413229
5.706,0.0698072,0.0132616,0.0410643
5.715,0.0692358,0.0131925,0.0408061
5.724,0.0686672,0.0131234,0.0405483
5.733,0.0681018,0.0130544,0.0402911
5.742,0.0675394,0.0129854,0.0400344
5.751,0.0669802,0.0129166,0.0397783
5.76,0.0664241,0.0128477,0.0395229
5.769,0.0658713,0.012779,0.0392682
5.778,0.0653217,0.0127104,0.0390141
5.787,0.0647751,0.0126418,0.0387607
5.796,0.0642316,0.0125733,0.0385079
5.805,0.0636909,0.0125048,0.0382556
5.814,0.063153,0.0124364,0.0380039
5.823,0.0626179,0.0123679,0.0377525
5.832,0.0620852,0.0122995,0.0375016
5.841,0.0615552,0.0122311,0.037251
5.85,0.0610275,0.0121626,0.0370007
5.859,0.0605023,0.0120941,0.0367508
5.868,0.0599797,0.0120256,0.0365012
5.877,0.0594596,0.0119571,0.0362521
5.886,0.0589421,0.0118887,0.0360035
5.895,0.0584274,0.0118202,0.0357553
5.904,0.0579155,0.0117518,0.0355078
5.913,0.0574065,0.0116835,0.0352609
5.922,0.0569005,0.0116153,0.0350148
5.931,0.0563977,0.0115472,0.0347694
5.94,0.0558983,0.0114793,0.034525
5.949,0.0554031,0.0114116,0.0342819
5.958,0.0549139,0.0113444,0.0340411
5.967,0.0544382,0.0112788,0.0338062
5.976,0.0540016,0.0112184,0.0335901
5.985,0.0536534,0.01117,0.0334173
5.994,0.053106,0.0110935,0.0331448
6.003,0.0520474,0.0109445,0.0326151
6.012,0.0537639,0.0111854,0.0334722
6.021,0.0528231,0.0110539,0.0330036
6.03,0.0527383,0.0110421,0.0329616
6.039,0.0544908,0.0112863,0.0338327
6.048,0.0540598,0.0112265,0.0336191
6.057,0.0539729,0.0112144,0.0335759
6.066,0.0539776,0.011215,0.0335782
6.075,0.053986,0.0112161,0.0335822
6.084,0.0540003,0.0112181,0.0335891
6.093,0.0540006,0.011218,0.0335892
6.102,0.054003,0.0112183,0.0335902
