"arc_length"	"Density","EnergyStagnationDensity","Ma","|m_i|"
0.16617	0.0054692	0.109571	0.0181967	0.000333331
0.167938	0.00545915	0.109571	0.0182087	0.000333244
0.169706	0.00544974	0.109572	0.0182226	0.000333213
0.171473	0.0054446	0.109572	0.0182428	0.000333426
0.173241	0.00544074	0.109573	0.0182663	0.000333737
0.175009	0.00543818	0.109573	0.0182931	0.000334148
0.176777	0.0054367	0.109574	0.018326	0.000334704
0.178544	0.00544211	0.109574	0.0183793	0.000335845
0.180312	0.00544911	0.109574	0.0184334	0.000337052
0.18208	0.00545745	0.109575	0.0184902	0.000338351
0.183848	0.00546714	0.109576	0.0185498	0.000339743
0.185616	0.00548285	0.109576	0.0186361	0.000341816
0.187383	0.0054995	0.109577	0.0187232	0.000343937
0.189151	0.00551709	0.109578	0.0188113	0.000346108
0.190919	0.00553562	0.109578	0.0189003	0.000348326
0.192687	0.00555943	0.109579	0.0190164	0.000351225
0.194454	0.00558399	0.10958	0.0191316	0.000354136
0.196222	0.00560929	0.109581	0.0192461	0.00035706
0.19799	0.00563533	0.109581	0.0193597	0.000359997
0.199758	0.00566673	0.109582	0.0195016	0.000363654
0.201525	0.00569886	0.109583	0.019641	0.000367294
0.203293	0.00573173	0.109585	0.019778	0.00037092
0.205061	0.00576533	0.109586	0.0199126	0.00037453
0.206829	0.00580501	0.109587	0.020077	0.000378933
0.208596	0.00584555	0.109588	0.0202373	0.000383297
0.210364	0.00588695	0.109589	0.0203938	0.000387623
0.212132	0.00592966	0.109591	0.0205487	0.000391971
0.2139	0.00597975	0.109592	0.0207385	0.000397278
0.215668	0.00603032	0.109594	0.0209197	0.000402448
0.217435	0.00608192	0.109595	0.0210954	0.000407556
0.219203	0.00613454	0.109597	0.0212654	0.000412602
0.220971	0.006197	0.109599	0.0214798	0.000418903
0.222739	0.00626069	0.1096	0.0216871	0.000425123
0.224506	0.00632563	0.109602	0.0218873	0.000431262
0.226274	0.00639181	0.109604	0.0220805	0.000437319
0.228042	0.00646886	0.109606	0.0223267	0.000444887
0.22981	0.00654731	0.109608	0.0225643	0.000452353
0.231577	0.00662714	0.109611	0.0227935	0.000459716
0.233345	0.00670837	0.109613	0.0230141	0.000466975
0.235113	0.00680117	0.109615	0.0232961	0.000476003
0.236881	0.00689543	0.109618	0.023568	0.000484899
0.238649	0.00699115	0.10962	0.0238297	0.000493663
0.240416	0.00708833	0.109623	0.0240812	0.000502296
0.242184	0.00719743	0.109626	0.0244014	0.000512936
0.243952	0.00730798	0.109629	0.0247094	0.000523402
0.24572	0.00741998	0.109632	0.0250052	0.000533696
0.247487	0.0075321	0.109635	0.0252893	0.000543782
