"arc_length","Cspd","Density","eint","pres","velx"
0.963,0.333328,0.999954,0.099997,0.0666616,1.5185e-05
0.972,0.33335,1.00015,0.10001,0.0666836,-5.09051e-05
0.981,0.333304,0.999736,0.0999824,0.0666374,8.78535e-05
0.99,0.333454,1.00108,0.100072,0.0667871,-0.000360898
0.999,0.333262,0.999362,0.0999575,0.0665958,0.000212719
1.008,0.332897,0.996078,0.0997383,0.0662314,0.00130919
1.017,0.332531,0.9928,0.0995194,0.0658686,0.00240571
1.026,0.332165,0.989519,0.0993001,0.0655062,0.00350587
1.035,0.331796,0.986232,0.09908,0.0651439,0.00461063
1.044,0.331427,0.982943,0.0988596,0.0647822,0.00571837
1.053,0.331057,0.979654,0.098639,0.0644214,0.00682839
1.062,0.330687,0.976368,0.0984183,0.0640616,0.00794018
1.071,0.330316,0.973085,0.0981975,0.063703,0.00905338
1.08,0.329944,0.969806,0.0979768,0.0633456,0.0101677
1.089,0.329572,0.966531,0.0977561,0.0629896,0.011283
1.098,0.3292,0.963262,0.0975355,0.0626348,0.0123992
1.107,0.328828,0.959998,0.0973151,0.0622815,0.013516
1.116,0.328456,0.956739,0.0970947,0.0619295,0.0146335
1.125,0.328083,0.953486,0.0968745,0.061579,0.0157515
1.134,0.32771,0.950239,0.0966545,0.0612299,0.0168699
1.143,0.327337,0.946999,0.0964346,0.0608823,0.0179888
1.152,0.326964,0.943764,0.0962149,0.0605361,0.019108
1.161,0.326591,0.940536,0.0959954,0.0601914,0.0202276
1.17,0.326218,0.937315,0.0957761,0.0598482,0.0213475
1.179,0.325844,0.9341,0.0955569,0.0595065,0.0224677
1.188,0.325471,0.930892,0.095338,0.0591662,0.0235881
1.197,0.325097,0.92769,0.0951193,0.0588275,0.0247088
1.206,0.324723,0.924495,0.0949008,0.0584902,0.0258296
1.215,0.32435,0.921307,0.0946825,0.0581544,0.0269507
1.224,0.323976,0.918126,0.0944644,0.0578202,0.028072
1.233,0.323602,0.914952,0.0942465,0.0574874,0.0291934
1.242,0.323228,0.911784,0.0940289,0.057156,0.030315
1.251,0.322854,0.908624,0.0938115,0.0568262,0.0314367
1.26,0.32248,0.90547,0.0935943,0.0564979,0.0325586
1.269,0.322106,0.902323,0.0933773,0.056171,0.0336806
1.278,0.321732,0.899183,0.0931606,0.0558456,0.0348027
1.287,0.321358,0.896051,0.0929441,0.0555217,0.035925
1.296,0.320984,0.892925,0.0927278,0.0551993,0.0370473
1.305,0.32061,0.889806,0.0925118,0.0548783,0.0381697
1.314,0.320236,0.886694,0.0922959,0.0545588,0.0392923
1.323,0.319862,0.883589,0.0920804,0.0542408,0.0404149
1.332,0.319487,0.880492,0.091865,0.0539243,0.0415376
1.341,0.319113,0.877401,0.0916499,0.0536092,0.0426604
1.35,0.318739,0.874317,0.0914351,0.0532955,0.0437832
1.359,0.318365,0.871241,0.0912204,0.0529833,0.0449061
1.368,0.31799,0.868171,0.091006,0.0526725,0.0460291
1.377,0.317616,0.865109,0.0907919,0.0523632,0.0471522
1.386,0.317242,0.862053,0.090578,0.0520554,0.0482753
1.395,0.316867,0.859005,0.0903643,0.0517489,0.0493985
1.404,0.316493,0.855963,0.0901509,0.0514439,0.0505217
1.413,0.316118,0.852929,0.0899377,0.0511403,0.051645
1.422,0.315744,0.849902,0.0897248,0.0508382,0.0527683
1.431,0.315369,0.846882,0.0895121,0.0505374,0.0538916
1.44,0.314995,0.843868,0.0892997,0.0502381,0.055015
1.449,0.31462,0.840862,0.0890875,0.0499402,0.0561385
1.458,0.314246,0.837863,0.0888755,0.0496437,0.057262
1.467,0.313872,0.834871,0.0886638,0.0493486,0.0583855
1.476,0.313497,0.831886,0.0884523,0.0490548,0.0595091
1.485,0.313122,0.828908,0.0882411,0.0487625,0.0606327
1.494,0.312748,0.825937,0.0880301,0.0484716,0.0617563
