"arc_length"	"Density","EnergyStagnationDensity","Ma","MomentumX"
0	1	3	2.67261	-2
0.000999987	1	3	2.67261	-2
0.002	1	3	2.67261	-2
0.00299999	1	3	2.67261	-2
0.00400001	1	3	2.67261	-2
0.005	1	3	2.67261	-2
0.00600001	1	3	2.67261	-2
0.007	1	3	2.67261	-2
0.00799999	1	3	2.67261	-2
0.009	1	3	2.67261	-2
0.00999999	1	3	2.67261	-2
0.011	1	3	2.67261	-2
0.012	1	3	2.67261	-2
0.013	1	3	2.67261	-2
0.014	1	3	2.67261	-2
0.015	1	3	2.67261	-2
0.016	1	3	2.67261	-2
0.017	1	3	2.67261	-2
0.018	1	3	2.67261	-2
0.019	1	3	2.67261	-2
0.02	1	3	2.67261	-2
0.021	1	3	2.67261	-2
0.022	1	3	2.67261	-2
0.023	1	3	2.67261	-2
0.024	1	3	2.67261	-2
0.025	1	3	2.67261	-2
0.026	1	3	2.67261	-2
0.027	1	3	2.67261	-2
0.028	1	3	2.67261	-2
0.029	1	3	2.67261	-2
0.03	1	3	2.67261	-2
0.031	1	3	2.67261	-2
0.032	1	3	2.67261	-2
0.033	1	3	2.67261	-2
0.034	1	3	2.67261	-2
0.035	1	3	2.67261	-2
0.036	1	3	2.67261	-2
0.037	1	3	2.67261	-2
0.038	1	3	2.67261	-2
0.039	1	3	2.67261	-2
0.04	1	3	2.67261	-2
0.041	1	3	2.67261	-2
0.042	1	3	2.67261	-2
0.043	1	3	2.67261	-2
0.044	1	3	2.67261	-2
0.045	1	3	2.67261	-2
0.046	1	3	2.67261	-2
0.047	1	3	2.67261	-2
0.048	1	3	2.67261	-2
0.049	1	3	2.67261	-2
0.05	1	3	2.67261	-2
0.051	1	3	2.67261	-2
0.052	1	3	2.67261	-2
0.053	1	3	2.67261	-2
0.054	1	3	2.67261	-2
0.055	1	3	2.67261	-2
0.056	1	3	2.67261	-2
0.057	1	3	2.67261	-2
0.058	1	3	2.67261	-2
0.059	1	3	2.67261	-2
0.06	1	3	2.67261	-2
0.061	1	3	2.67261	-2
0.062	1	3	2.67261	-2
0.063	1	3	2.67261	-2
0.064	1	3	2.67261	-2
0.065	1	3	2.67261	-2
0.066	1	3	2.67261	-2
0.067	1	3	2.67261	-2
0.068	1	3	2.67261	-2
0.069	1	3	2.67261	-2
0.07	1	3	2.67261	-2
0.071	1	3	2.67261	-2
0.072	1	3	2.67261	-2
