"arc_length","sie"
3.069,0.0549665
3.078,0.0547996
3.087,0.0546329
3.096,0.0544665
3.105,0.0543004
3.114,0.0541344
3.123,0.0539688
3.132,0.0538034
3.141,0.0536383
3.15,0.0534734
3.159,0.0533088
3.168,0.0531444
3.177,0.0529804
3.186,0.0528165
3.195,0.0526529
3.204,0.0524896
3.213,0.0523265
3.222,0.0521637
3.231,0.0520011
3.24,0.0518387
3.249,0.0516767
3.258,0.0515149
3.267,0.0513534
3.276,0.0511921
3.285,0.051031
3.294,0.0508702
3.303,0.0507097
3.312,0.0505495
3.321,0.0503895
3.33,0.0502297
3.339,0.0500702
3.348,0.049911
3.357,0.049752
3.366,0.0495933
3.375,0.0494348
3.384,0.0492766
3.393,0.0491187
3.402,0.0489609
3.411,0.0488035
3.42,0.0486463
3.429,0.0484894
3.438,0.0483327
3.447,0.0481763
3.456,0.0480201
3.465,0.0478642
3.474,0.0477086
3.483,0.0475532
3.492,0.0473981
3.501,0.0472432
3.51,0.0470886
3.519,0.0469342
3.528,0.0467801
3.537,0.0466263
3.546,0.0464727
3.555,0.0463193
3.564,0.0461662
3.573,0.0460134
3.582,0.0458608
3.591,0.0457085
3.6,0.0455564
3.609,0.0454047
3.618,0.0452531
3.627,0.0451018
3.636,0.0449508
3.645,0.0448
3.654,0.0446494
3.663,0.0444992
3.672,0.0443492
3.681,0.0441994
3.69,0.0440498
3.699,0.0439006
3.708,0.0437516
3.717,0.0436029
3.726,0.0434543
3.735,0.0433061
3.744,0.0431581
3.753,0.0430104
3.762,0.0428629
3.771,0.0427157
3.78,0.0425687
3.789,0.042422
3.798,0.0422755
3.807,0.0421294
3.816,0.0419834
3.825,0.0418377
3.834,0.0416922
3.843,0.0415471
3.852,0.0414022
3.861,0.0412575
3.87,0.0411131
3.879,0.040969
3.888,0.0408251
3.897,0.0406815
3.906,0.040538
3.915,0.040395
3.924,0.0402521
3.933,0.0401095
3.942,0.0399671
3.951,0.0398251
3.96,0.0396833
3.969,0.0395417
3.978,0.0394004
3.987,0.0392594
3.996,0.0391186
4.005,0.0389781
4.014,0.0388379
4.023,0.0386978
4.032,0.0385581
4.041,0.0384187
4.05,0.0382795
4.059,0.0381405
4.068,0.0380018
4.077,0.0378634
4.086,0.0377252
4.095,0.0375873
4.104,0.0374496
4.113,0.0373123
4.122,0.0371751
4.131,0.0370383
4.14,0.0369017
4.149,0.0367653
4.158,0.0366292
4.167,0.0364934
4.176,0.0363578
4.185,0.0362225
4.194,0.0360874
4.203,0.0359526
4.212,0.035818
4.221,0.0356838
4.23,0.0355497
4.239,0.0354159
4.248,0.0352823
4.257,0.035149
4.266,0.035016
4.275,0.0348833
4.284,0.0347507
4.293,0.0346184
4.302,0.0344864
4.311,0.0343546
4.32,0.0342231
4.329,0.0340919
4.338,0.0339608
4.347,0.0338299
4.356,0.0336994
4.365,0.0335692
4.374,0.0334392
4.383,0.0333094
4.392,0.0331798
4.401,0.0330505
4.41,0.0329214
4.419,0.0327927
4.428,0.0326642
4.437,0.0325358
4.446,0.0324077
4.455,0.0322799
4.464,0.0321523
4.473,0.0320251
4.482,0.0318981
4.491,0.0317713
4.5,0.0316446
4.509,0.0315183
