"arc_length","velocity"
2.754,0.219178
2.763,0.220303
2.772,0.221429
2.781,0.222555
2.79,0.223681
2.799,0.224806
2.808,0.225932
2.817,0.227058
2.826,0.228184
2.835,0.22931
2.844,0.230436
2.853,0.231561
2.862,0.232687
2.871,0.233813
2.88,0.234939
2.889,0.236065
2.898,0.237191
2.907,0.238317
2.916,0.239443
2.925,0.24057
2.934,0.241696
2.943,0.242822
2.952,0.243949
2.961,0.245076
2.97,0.246203
2.979,0.24733
2.988,0.248459
2.997,0.249589
3.006,0.25072
3.015,0.251846
3.024,0.252973
3.033,0.2541
3.042,0.255226
3.051,0.256353
3.06,0.257479
3.069,0.258606
3.078,0.259733
3.087,0.260859
3.096,0.261986
3.105,0.263112
3.114,0.264239
3.123,0.265365
3.132,0.266492
3.141,0.267618
3.15,0.268745
3.159,0.269871
3.168,0.270998
3.177,0.272124
3.186,0.273251
3.195,0.274377
3.204,0.275503
3.213,0.27663
3.222,0.277756
3.231,0.278882
3.24,0.280009
3.249,0.281135
3.258,0.282261
3.267,0.283387
3.276,0.284514
3.285,0.28564
3.294,0.286766
3.303,0.287892
3.312,0.289019
3.321,0.290145
3.33,0.291271
3.339,0.292397
3.348,0.293523
3.357,0.294649
3.366,0.295775
3.375,0.296901
3.384,0.298027
3.393,0.299153
3.402,0.300279
3.411,0.301405
3.42,0.302531
3.429,0.303657
3.438,0.304783
3.447,0.305908
3.456,0.307034
3.465,0.30816
3.474,0.309286
3.483,0.310412
3.492,0.311537
3.501,0.312663
3.51,0.313789
3.519,0.314915
3.528,0.31604
3.537,0.317166
3.546,0.318292
3.555,0.319417
3.564,0.320543
3.573,0.321668
3.582,0.322794
3.591,0.323919
3.6,0.325045
3.609,0.32617
3.618,0.327296
3.627,0.328421
3.636,0.329547
3.645,0.330672
3.654,0.331798
3.663,0.332923
3.672,0.334049
3.681,0.335174
3.69,0.336299
3.699,0.337425
3.708,0.33855
3.717,0.339675
3.726,0.340801
3.735,0.341926
3.744,0.343052
3.753,0.344177
3.762,0.345302
3.771,0.346428
3.78,0.347553
3.789,0.348678
3.798,0.349804
3.807,0.350929
3.816,0.352054
3.825,0.353179
3.834,0.354304
3.843,0.35543
3.852,0.356555
3.861,0.35768
3.87,0.358805
3.879,0.35993
3.888,0.361055
3.897,0.36218
3.906,0.363305
3.915,0.36443
3.924,0.365555
3.933,0.366679
3.942,0.367804
3.951,0.368929
3.96,0.370053
3.969,0.371178
3.978,0.372303
3.987,0.373427
3.996,0.374551
4.005,0.375676
4.014,0.3768
4.023,0.377924
4.032,0.379048
4.041,0.380172
4.05,0.381296
4.059,0.38242
4.068,0.383544
4.077,0.384668
4.086,0.385792
4.095,0.386915
4.104,0.388039
4.113,0.389162
4.122,0.390286
4.131,0.391409
4.14,0.392533
4.149,0.393656
4.158,0.394779
4.167,0.395902
4.176,0.397026
4.185,0.398149
4.194,0.399272
4.203,0.400395
4.212,0.401518
4.221,0.402641
4.23,0.403764
4.239,0.404887
4.248,0.40601
4.257,0.407133
4.266,0.408257
4.275,0.40938
4.284,0.410503
4.293,0.411626
4.302,0.412749
4.311,0.413872
4.32,0.414995
4.329,0.416118
4.338,0.417241
4.347,0.418365
4.356,0.419488
4.365,0.420611
4.374,0.421734
4.383,0.422858
4.392,0.423981
4.401,0.425104
4.41,0.426228
4.419,0.427351
4.428,0.428475
4.437,0.429598
4.446,0.430722
4.455,0.431846
4.464,0.432969
4.473,0.434093
4.482,0.435217
4.491,0.43634
4.5,0.437464
4.509,0.438588
4.518,0.439712
4.527,0.440836
4.536,0.44196
4.545,0.443083
4.554,0.444207
4.563,0.445331
4.572,0.446455
4.581,0.447579
4.59,0.448703
4.599,0.449827
4.608,0.450951
4.617,0.452075
4.626,0.453199
4.635,0.454323
4.644,0.455447
4.653,0.456571
4.662,0.457695
4.671,0.458819
4.68,0.459944
4.689,0.461067
4.698,0.462192
4.707,0.463316
4.716,0.46444
4.725,0.465564
4.734,0.466688
4.743,0.467812
4.752,0.468936
4.761,0.47006
4.77,0.471184
4.779,0.472308
4.788,0.473433
4.797,0.474557
4.806,0.475681
4.815,0.476805
4.824,0.47793
4.833,0.479054
4.842,0.480178
4.851,0.481302
4.86,0.482426
4.869,0.483551
4.878,0.484675
4.887,0.485799
4.896,0.486924
4.905,0.488048
4.914,0.489173
4.923,0.490297
4.932,0.491422
4.941,0.492546
4.95,0.49367
4.959,0.494795
4.968,0.49592
4.977,0.497044
4.986,0.498169
4.995,0.499293
5.004,0.500418
5.013,0.501543
5.022,0.502668
5.031,0.503792
5.04,0.504917
5.049,0.506042
5.058,0.507167
5.067,0.508292
5.076,0.509417
5.085,0.510542
5.094,0.511667
5.103,0.512792
5.112,0.513917
5.121,0.515042
5.13,0.516167
5.139,0.517292
5.148,0.518417
5.157,0.519542
5.166,0.520667
5.175,0.521793
5.184,0.522918
5.193,0.524043
5.202,0.525168
5.211,0.526294
5.22,0.527419
5.229,0.528544
5.238,0.52967
5.247,0.530795
5.256,0.53192
5.265,0.533046
5.274,0.534171
5.283,0.535296
5.292,0.536422
5.301,0.537547
5.31,0.538673
5.319,0.539798
5.328,0.540924
5.337,0.542049
5.346,0.543175
5.355,0.5443
5.364,0.545426
5.373,0.546551
5.382,0.547677
5.391,0.548802
5.4,0.549928
5.409,0.551053
5.418,0.552179
5.427,0.553304
5.436,0.55443
5.445,0.555556
5.454,0.556681
5.463,0.557807
5.472,0.558932
5.481,0.560058
5.49,0.561184
5.499,0.562309
5.508,0.563435
5.517,0.564561
5.526,0.565687
5.535,0.566812
5.544,0.567938
5.553,0.569064
5.562,0.57019
5.571,0.571315
5.58,0.572441
5.589,0.573567
5.598,0.574693
5.607,0.575819
5.616,0.576945
5.625,0.578071
5.634,0.579197
5.643,0.580322
5.652,0.581448
5.661,0.582574
