"arc_length","Density"
5.04,0.121348
5.049,0.120524
5.058,0.119702
5.067,0.118884
5.076,0.11807
5.085,0.117259
5.094,0.116452
5.103,0.115649
5.112,0.11485
5.121,0.114055
5.13,0.113263
5.139,0.112475
5.148,0.11169
5.157,0.110909
5.166,0.110131
5.175,0.109357
5.184,0.108587
5.193,0.10782
5.202,0.107058
5.211,0.106299
5.22,0.105543
5.229,0.104791
5.238,0.104043
5.247,0.103298
5.256,0.102556
5.265,0.101817
5.274,0.101083
5.283,0.100352
5.292,0.0996244
5.301,0.098901
5.31,0.0981812
5.319,0.0974648
5.328,0.0967517
5.337,0.0960419
5.346,0.0953352
5.355,0.0946319
5.364,0.093932
5.373,0.0932356
5.382,0.0925428
5.391,0.0918537
5.4,0.0911682
5.409,0.0904864
5.418,0.089808
5.427,0.089133
5.436,0.0884612
5.445,0.0877925
5.454,0.0871269
5.463,0.0864645
5.472,0.0858053
5.481,0.0851495
5.49,0.0844972
5.499,0.0838485
5.508,0.0832033
5.517,0.0825617
5.526,0.0819235
5.535,0.0812886
5.544,0.080657
5.553,0.0800284
5.562,0.079403
5.571,0.0787805
5.58,0.0781611
5.589,0.0775449
5.598,0.0769318
5.607,0.0763219
5.616,0.0757154
5.625,0.0751124
5.634,0.0745127
5.643,0.0739165
5.652,0.0733237
5.661,0.0727342
5.67,0.0721478
5.679,0.0715646
5.688,0.0709843
5.697,0.0704069
5.706,0.0698325
5.715,0.0692609
5.724,0.0686924
5.733,0.0681269
5.742,0.0675645
5.751,0.0670054
5.76,0.0664496
5.769,0.0658971
5.778,0.0653479
5.787,0.0648019
5.796,0.0642592
5.805,0.0637195
5.814,0.0631829
5.823,0.0626492
5.832,0.0621184
5.841,0.0615905
5.85,0.0610655
5.859,0.0605433
5.868,0.0600239
5.877,0.0595075
5.886,0.0589941
5.895,0.0584838
5.904,0.0579767
5.913,0.0574728
5.922,0.0569722
5.931,0.0564748
5.94,0.0559806
5.949,0.0554894
5.958,0.0550013
5.967,0.0545167
5.976,0.0540363
5.985,0.0535599
5.994,0.0530822
6.003,0.0526169
6.012,0.0520666
6.021,0.0515757
6.03,0.0515328
6.039,0.0515579
6.048,0.0552185
6.057,0.0546347
6.066,0.0543221
6.075,0.0543161
6.084,0.0541478
6.093,0.0542002
6.102,0.0541982
6.111,0.0541671
6.12,0.0541486
6.129,0.0541431
6.138,0.0541502
6.147,0.0541376
6.156,0.0541036
6.165,0.0540992
6.174,0.0541065
6.183,0.0541046
6.192,0.0541064
6.201,0.0541016
6.21,0.0540941
6.219,0.0540893
6.228,0.05409
6.237,0.0540912
6.246,0.0540903
6.255,0.0540882
6.264,0.0540873
6.273,0.0540873
6.282,0.054086
6.291,0.0540824
6.3,0.0540779
6.309,0.0540734
6.318,0.0540712
6.327,0.0540718
6.336,0.0540696
6.345,0.0540672
6.354,0.054066
6.363,0.0540686
6.372,0.0540743
6.381,0.0540806
6.39,0.0540871
6.399,0.0540918
6.408,0.0540951
6.417,0.0540979
6.426,0.054094
6.435,0.0540857
6.444,0.0540717
6.453,0.054056
6.462,0.0540426
6.471,0.0540305
6.48,0.0540234
6.489,0.0540232
6.498,0.0540334
6.507,0.0540491
6.516,0.0540711
6.525,0.0540964
6.534,0.0541235
6.543,0.0541468
6.552,0.0541645
6.561,0.0541727
6.57,0.0541712
6.579,0.0541613
6.588,0.0541396
6.597,0.0541122
6.606,0.0540872
6.615,0.0540796
6.624,0.0540976
6.633,0.0541929
6.642,0.0543386
6.651,0.0544954
6.66,0.0548055
6.669,0.0551731
6.678,0.0557236
6.687,0.0568597
6.696,0.0583594
6.705,0.0586574
6.714,0.0582065
6.723,0.0509233
6.732,0.00463798
6.741,0.00258758
6.75,0.002885
6.759,0.00297462
6.768,0.0032571
6.777,0.00338112
6.786,0.00355851
6.795,0.00370825
6.804,0.00385745
6.813,0.00399273
6.822,0.0041215
6.831,0.0042195
6.84,0.00429993
6.849,0.00429022
6.858,0.00411934
6.867,0.00399097
6.876,0.0040137
6.885,0.00403564
6.894,0.00403365
6.903,0.00403715
6.912,0.00403686
6.921,0.00403626
6.93,0.00403584
6.939,0.00402772
6.948,0.00401855
6.957,0.00401197
6.966,0.00400998
6.975,0.00401189
6.984,0.00401085
6.993,0.00401359
7.002,0.00400585
7.011,0.00400346
7.02,0.00399911
7.029,0.00400045
7.038,0.00400187
7.047,0.00400188
7.056,0.00400415
7.065,0.00400275
7.074,0.00400392
7.083,0.00400455
7.092,0.00400431
7.101,0.00400508
7.11,0.00400241
7.119,0.00400304
7.128,0.00400164
7.137,0.00400296
7.146,0.00400455
7.155,0.00400172
7.164,0.00400429
7.173,0.00399902
7.182,0.00400067
7.191,0.00399922
7.2,0.00400139
7.209,0.00400085
7.218,0.00399912
7.227,0.00400111
7.236,0.00399989
7.245,0.00400029
7.254,0.00400184
7.263,0.00400114
7.272,0.00400126
7.281,0.0039987
7.29,0.00400125
7.299,0.00399911
7.308,0.00399943
7.317,0.00400088
7.326,0.00399895
7.335,0.00400157
7.344,0.00399976
7.353,0.00400045
7.362,0.00399982
7.371,0.00400052
7.38,0.00400009
7.389,0.00399979
7.398,0.00400097
7.407,0.00400013
7.416,0.00399879
7.425,0.00400078
7.434,0.00400044
7.443,0.0040012
7.452,0.00399993
7.461,0.00400168
7.47,0.00399983
7.479,0.00400028
7.488,0.00400164
7.497,0.00399964
7.506,0.00400126
7.515,0.00399953
7.524,0.00400005
7.533,0.00400164
7.542,0.00399957
7.551,0.00400172
7.56,0.0039989
7.569,0.00400198
7.578,0.00399826
7.587,0.00400136
7.596,0.00400061
7.605,0.00400088
7.614,0.00400084
7.623,0.003999
7.632,0.00400056
7.641,0.00399928
7.65,0.004
7.659,0.00400153
7.668,0.0040005
7.677,0.004001
7.686,0.00399945
7.695,0.00399803
7.704,0.00400239
7.713,0.00399811
7.722,0.00400307
7.731,0.003999
7.74,0.00400096
7.749,0.00399962
7.758,0.00399957
7.767,0.0040008
7.776,0.00399981
7.785,0.00400116
7.794,0.00399949
7.803,0.00399912
7.812,0.00400018
7.821,0.00400023
7.83,0.00400244
7.839,0.00399865
7.848,0.00399973
7.857,0.00400115
7.866,0.00399932
7.875,0.0040021
7.884,0.00399719
7.893,0.00400084
7.902,0.00399964
7.911,0.00400133
7.92,0.00400128
7.929,0.00399963
7.938,0.00400148
7.947,0.00399847
7.956,0.00400018
7.965,0.00399872
7.974,0.00400324
7.983,0.0040014
7.992,0.00138308
8.001,0.000999713
8.01,0.000999995
8.019,0.001
8.028,0.001
8.037,0.001
8.046,0.001
8.055,0.001
8.064,0.001
8.073,0.001
8.082,0.001
8.091,0.001
8.1,0.001
8.109,0.001
8.118,0.001
8.127,0.001
8.136,0.001
8.145,0.001
8.154,0.001
8.163,0.001
8.172,0.001
8.181,0.001
8.19,0.001
8.199,0.001
8.208,0.001
8.217,0.001
8.226,0.001
8.235,0.001
8.244,0.001
8.253,0.001
8.262,0.001
8.271,0.001
8.28,0.001
8.289,0.001
8.298,0.001
8.307,0.001
8.316,0.001
8.325,0.001
8.334,0.001
8.343,0.001
8.352,0.001
8.361,0.001
8.37,0.001
8.379,0.001
8.388,0.001
8.397,0.001
8.406,0.001
8.415,0.001
8.424,0.001
8.433,0.001
8.442,0.001
8.451,0.001
8.46,0.001
8.469,0.001
8.478,0.001
8.487,0.001
8.496,0.001
8.505,0.001
8.514,0.001
8.523,0.001
8.532,0.001
8.541,0.001
8.55,0.001
8.559,0.001
8.568,0.001
8.577,0.001
8.586,0.001
8.595,0.001
8.604,0.001
8.613,0.001
8.622,0.001
8.631,0.001
8.64,0.001
8.649,0.001
8.658,0.001
8.667,0.001
8.676,0.001
8.685,0.001
8.694,0.001
8.703,0.001
8.712,0.001
8.721,0.001
8.73,0.001
8.739,0.001
8.748,0.001
8.757,0.001
8.766,0.001
8.775,0.001
8.784,0.001
8.793,0.001
8.802,0.001
8.811,0.001
8.82,0.001
8.829,0.001
8.838,0.001
8.847,0.001
8.856,0.001
8.865,0.001
8.874,0.001
8.883,0.001
8.892,0.001
8.901,0.001
8.91,0.001
8.919,0.001
8.928,0.001
8.937,0.001
8.946,0.001
8.955,0.001
8.964,0.001
8.973,0.001
8.982,0.001
8.991,0.001
9,0.001
