"arc_length","pressure"
3.069,0.00895995
3.078,0.00889207
3.087,0.00882462
3.096,0.00875757
3.105,0.00869094
3.114,0.00862471
3.123,0.00855889
3.132,0.00849346
3.141,0.00842845
3.15,0.00836382
3.159,0.00829961
3.168,0.00823578
3.177,0.00817235
3.186,0.00810931
3.195,0.00804666
3.204,0.0079844
3.213,0.00792253
3.222,0.00786104
3.231,0.00779993
3.24,0.00773921
3.249,0.00767887
3.258,0.0076189
3.267,0.00755931
3.276,0.00750009
3.285,0.00744125
3.294,0.00738278
3.303,0.00732467
3.312,0.00726694
3.321,0.00720957
3.33,0.00715256
3.339,0.00709592
3.348,0.00703963
3.357,0.00698371
3.366,0.00692814
3.375,0.00687293
3.384,0.00681807
3.393,0.00676357
3.402,0.00670941
3.411,0.0066556
3.42,0.00660214
3.429,0.00654903
3.438,0.00649625
3.447,0.00644382
3.456,0.00639173
3.465,0.00633998
3.474,0.00628856
3.483,0.00623749
3.492,0.00618673
3.501,0.00613632
3.51,0.00608624
3.519,0.00603648
3.528,0.00598705
3.537,0.00593795
3.546,0.00588916
3.555,0.0058407
3.564,0.00579256
3.573,0.00574475
3.582,0.00569724
3.591,0.00565005
3.6,0.00560318
3.609,0.00555662
3.618,0.00551037
3.627,0.00546442
3.636,0.00541879
3.645,0.00537346
3.654,0.00532843
3.663,0.00528372
3.672,0.00523929
3.681,0.00519518
3.69,0.00515135
3.699,0.00510783
3.708,0.00506459
3.717,0.00502166
3.726,0.00497901
3.735,0.00493666
3.744,0.00489459
3.753,0.00485281
3.762,0.00481132
3.771,0.00477011
3.78,0.00472918
3.789,0.00468854
3.798,0.00464818
3.807,0.0046081
3.816,0.00456829
3.825,0.00452876
3.834,0.00448951
3.843,0.00445053
3.852,0.00441182
3.861,0.00437338
3.87,0.00433522
3.879,0.00429732
3.888,0.00425968
3.897,0.00422232
3.906,0.00418521
3.915,0.00414837
3.924,0.00411179
3.933,0.00407547
3.942,0.00403941
3.951,0.00400361
3.96,0.00396806
3.969,0.00393277
3.978,0.00389773
3.987,0.00386295
3.996,0.00382841
4.005,0.00379412
4.014,0.00376008
4.023,0.00372629
4.032,0.00369274
4.041,0.00365944
4.05,0.00362638
4.059,0.00359357
4.068,0.00356098
4.077,0.00352865
4.086,0.00349654
4.095,0.00346468
4.104,0.00343304
4.113,0.00340165
4.122,0.00337048
4.131,0.00333954
4.14,0.00330883
4.149,0.00327835
4.158,0.0032481
4.167,0.00321807
4.176,0.00318826
4.185,0.00315868
4.194,0.00312931
4.203,0.00310017
4.212,0.00307124
4.221,0.00304254
4.23,0.00301404
4.239,0.00298577
4.248,0.0029577
4.257,0.00292985
4.266,0.0029022
4.275,0.00287477
4.284,0.00284754
4.293,0.00282051
4.302,0.0027937
4.311,0.00276709
4.32,0.00274068
4.329,0.00271447
4.338,0.00268846
4.347,0.00266265
4.356,0.00263704
4.365,0.00261163
4.374,0.00258641
4.383,0.00256139
4.392,0.00253655
4.401,0.00251191
4.41,0.00248747
4.419,0.00246321
4.428,0.00243914
4.437,0.00241526
4.446,0.00239156
4.455,0.00236806
4.464,0.00234473
4.473,0.00232159
4.482,0.00229863
4.491,0.00227586
4.5,0.00225326
4.509,0.00223084
4.518,0.0022086
4.527,0.00218654
4.536,0.00216465
4.545,0.00214294
