xcoord, vel_exact, zero
1.325000e-01,	0.000000e+00,	 0
1.335000e-01,	0.000000e+00,	 0
1.345000e-01,	0.000000e+00,	 0
1.355000e-01,	0.000000e+00,	 0
1.365000e-01,	0.000000e+00,	 0
1.375000e-01,	0.000000e+00,	 0
1.385000e-01,	0.000000e+00,	 0
1.395000e-01,	0.000000e+00,	 0
1.405000e-01,	0.000000e+00,	 0
1.415000e-01,	0.000000e+00,	 0
1.425000e-01,	0.000000e+00,	 0
1.435000e-01,	0.000000e+00,	 0
1.445000e-01,	0.000000e+00,	 0
1.455000e-01,	0.000000e+00,	 0
1.465000e-01,	0.000000e+00,	 0
1.475000e-01,	0.000000e+00,	 0
1.485000e-01,	0.000000e+00,	 0
1.495000e-01,	0.000000e+00,	 0
1.505000e-01,	0.000000e+00,	 0
1.515000e-01,	0.000000e+00,	 0
1.525000e-01,	0.000000e+00,	 0
1.535000e-01,	0.000000e+00,	 0
1.545000e-01,	0.000000e+00,	 0
1.555000e-01,	0.000000e+00,	 0
1.565000e-01,	0.000000e+00,	 0
1.575000e-01,	0.000000e+00,	 0
1.585000e-01,	0.000000e+00,	 0
1.595000e-01,	0.000000e+00,	 0
1.605000e-01,	0.000000e+00,	 0
1.615000e-01,	0.000000e+00,	 0
1.625000e-01,	0.000000e+00,	 0
1.635000e-01,	0.000000e+00,	 0
1.645000e-01,	0.000000e+00,	 0
1.655000e-01,	0.000000e+00,	 0
1.665000e-01,	0.000000e+00,	 0
1.675000e-01,	0.000000e+00,	 0
1.685000e-01,	0.000000e+00,	 0
1.695000e-01,	0.000000e+00,	 0
1.705000e-01,	0.000000e+00,	 0
1.715000e-01,	0.000000e+00,	 0
1.725000e-01,	0.000000e+00,	 0
1.735000e-01,	0.000000e+00,	 0
1.745000e-01,	0.000000e+00,	 0
1.755000e-01,	0.000000e+00,	 0
1.765000e-01,	0.000000e+00,	 0
1.775000e-01,	0.000000e+00,	 0
1.785000e-01,	0.000000e+00,	 0
1.795000e-01,	0.000000e+00,	 0
1.805000e-01,	0.000000e+00,	 0
1.815000e-01,	0.000000e+00,	 0
1.825000e-01,	0.000000e+00,	 0
1.835000e-01,	0.000000e+00,	 0
1.845000e-01,	0.000000e+00,	 0
1.855000e-01,	0.000000e+00,	 0
1.865000e-01,	0.000000e+00,	 0
1.875000e-01,	0.000000e+00,	 0
1.885000e-01,	0.000000e+00,	 0
1.895000e-01,	0.000000e+00,	 0
1.905000e-01,	0.000000e+00,	 0
1.915000e-01,	0.000000e+00,	 0
1.925000e-01,	0.000000e+00,	 0
1.935000e-01,	0.000000e+00,	 0
1.945000e-01,	0.000000e+00,	 0
1.955000e-01,	0.000000e+00,	 0
1.965000e-01,	0.000000e+00,	 0
1.975000e-01,	0.000000e+00,	 0
1.985000e-01,	0.000000e+00,	 0
1.995000e-01,	0.000000e+00,	 0
2.005000e-01,	0.000000e+00,	 0
2.015000e-01,	0.000000e+00,	 0
2.025000e-01,	0.000000e+00,	 0
2.035000e-01,	0.000000e+00,	 0
2.045000e-01,	0.000000e+00,	 0
2.055000e-01,	0.000000e+00,	 0
2.065000e-01,	0.000000e+00,	 0
2.075000e-01,	0.000000e+00,	 0
2.085000e-01,	0.000000e+00,	 0
2.095000e-01,	0.000000e+00,	 0
2.105000e-01,	0.000000e+00,	 0
2.115000e-01,	0.000000e+00,	 0
2.125000e-01,	0.000000e+00,	 0
2.135000e-01,	0.000000e+00,	 0
2.145000e-01,	0.000000e+00,	 0
2.155000e-01,	0.000000e+00,	 0
2.165000e-01,	0.000000e+00,	 0
2.175000e-01,	0.000000e+00,	 0
2.185000e-01,	0.000000e+00,	 0
2.195000e-01,	0.000000e+00,	 0
2.205000e-01,	0.000000e+00,	 0
2.215000e-01,	0.000000e+00,	 0
2.225000e-01,	0.000000e+00,	 0
2.235000e-01,	0.000000e+00,	 0
2.245000e-01,	0.000000e+00,	 0
2.255000e-01,	0.000000e+00,	 0
2.265000e-01,	0.000000e+00,	 0
2.275000e-01,	0.000000e+00,	 0
2.285000e-01,	0.000000e+00,	 0
2.295000e-01,	0.000000e+00,	 0
2.305000e-01,	0.000000e+00,	 0
2.315000e-01,	0.000000e+00,	 0
2.325000e-01,	0.000000e+00,	 0
2.335000e-01,	0.000000e+00,	 0
2.345000e-01,	0.000000e+00,	 0
2.355000e-01,	0.000000e+00,	 0
2.365000e-01,	0.000000e+00,	 0
2.375000e-01,	0.000000e+00,	 0
2.385000e-01,	0.000000e+00,	 0
2.395000e-01,	0.000000e+00,	 0
2.405000e-01,	0.000000e+00,	 0
2.415000e-01,	0.000000e+00,	 0
2.425000e-01,	0.000000e+00,	 0
2.435000e-01,	0.000000e+00,	 0
2.445000e-01,	0.000000e+00,	 0
2.455000e-01,	0.000000e+00,	 0
2.465000e-01,	0.000000e+00,	 0
2.475000e-01,	0.000000e+00,	 0
2.485000e-01,	0.000000e+00,	 0
2.495000e-01,	0.000000e+00,	 0
2.505000e-01,	0.000000e+00,	 0
2.515000e-01,	0.000000e+00,	 0
2.525000e-01,	0.000000e+00,	 0
2.535000e-01,	0.000000e+00,	 0
2.545000e-01,	0.000000e+00,	 0
2.555000e-01,	0.000000e+00,	 0
2.565000e-01,	0.000000e+00,	 0
2.575000e-01,	0.000000e+00,	 0
2.585000e-01,	0.000000e+00,	 0
2.595000e-01,	0.000000e+00,	 0
2.605000e-01,	0.000000e+00,	 0
2.615000e-01,	0.000000e+00,	 0
2.625000e-01,	0.000000e+00,	 0
2.635000e-01,	5.966305e-04,	 0
2.645000e-01,	4.763297e-03,	 0
2.655000e-01,	8.929964e-03,	 0
2.665000e-01,	1.309663e-02,	 0
2.675000e-01,	1.726330e-02,	 0
2.685000e-01,	2.142996e-02,	 0
2.695000e-01,	2.559663e-02,	 0
2.705000e-01,	2.976330e-02,	 0
2.715000e-01,	3.392996e-02,	 0
2.725000e-01,	3.809663e-02,	 0
