# Exact Riemann solution for problem: user
# Discretization: nodal
# Domain bounds: [0.00000e+00,1.00000e+00]
# Iterface position: 5.00000e-01
# Gamma: 1.66667e+00
# Left  state [dens,velx,pres]: [1.00000e+00, 0.00000e+00, 1.00000e+00]
# Right state [dens,velx,pres]: [1.25000e-01, 0.00000e+00, 1.00000e-01]
# Time: 2.74600e-01
                   x                 dens                 pres                 velx                 eint                 cspd
  0.000000000000e+00   1.000000000000e+00   1.000000000000e+00   0.000000000000e+00   1.499999925000e+00   1.290994461646e+00
  1.000000000000e-03   1.000000000000e+00   1.000000000000e+00   0.000000000000e+00   1.499999925000e+00   1.290994461646e+00
  2.000000000000e-03   1.000000000000e+00   1.000000000000e+00   0.000000000000e+00   1.499999925000e+00   1.290994461646e+00
  3.000000000000e-03   1.000000000000e+00   1.000000000000e+00   0.000000000000e+00   1.499999925000e+00   1.290994461646e+00
  4.000000000000e-03   1.000000000000e+00   1.000000000000e+00   0.000000000000e+00   1.499999925000e+00   1.290994461646e+00
  5.000000000000e-03   1.000000000000e+00   1.000000000000e+00   0.000000000000e+00   1.499999925000e+00   1.290994461646e+00
  6.000000000000e-03   1.000000000000e+00   1.000000000000e+00   0.000000000000e+00   1.499999925000e+00   1.290994461646e+00
  7.000000000000e-03   1.000000000000e+00   1.000000000000e+00   0.000000000000e+00   1.499999925000e+00   1.290994461646e+00
  8.000000000000e-03   1.000000000000e+00   1.000000000000e+00   0.000000000000e+00   1.499999925000e+00   1.290994461646e+00
  9.000000000000e-03   1.000000000000e+00   1.000000000000e+00   0.000000000000e+00   1.499999925000e+00   1.290994461646e+00
  1.000000000000e-02   1.000000000000e+00   1.000000000000e+00   0.000000000000e+00   1.499999925000e+00   1.290994461646e+00
  1.100000000000e-02   1.000000000000e+00   1.000000000000e+00   0.000000000000e+00   1.499999925000e+00   1.290994461646e+00
  1.200000000000e-02   1.000000000000e+00   1.000000000000e+00   0.000000000000e+00   1.499999925000e+00   1.290994461646e+00
  1.300000000000e-02   1.000000000000e+00   1.000000000000e+00   0.000000000000e+00   1.499999925000e+00   1.290994461646e+00
  1.400000000000e-02   1.000000000000e+00   1.000000000000e+00   0.000000000000e+00   1.499999925000e+00   1.290994461646e+00
  1.500000000000e-02   1.000000000000e+00   1.000000000000e+00   0.000000000000e+00   1.499999925000e+00   1.290994461646e+00
  1.600000000000e-02   1.000000000000e+00   1.000000000000e+00   0.000000000000e+00   1.499999925000e+00   1.290994461646e+00
  1.700000000000e-02   1.000000000000e+00   1.000000000000e+00   0.000000000000e+00   1.499999925000e+00   1.290994461646e+00
  1.800000000000e-02   1.000000000000e+00   1.000000000000e+00   0.000000000000e+00   1.499999925000e+00   1.290994461646e+00
  1.900000000000e-02   1.000000000000e+00   1.000000000000e+00   0.000000000000e+00   1.499999925000e+00   1.290994461646e+00
  2.000000000000e-02   1.000000000000e+00   1.000000000000e+00   0.000000000000e+00   1.499999925000e+00   1.290994461646e+00
  2.100000000000e-02   1.000000000000e+00   1.000000000000e+00   0.000000000000e+00   1.499999925000e+00   1.290994461646e+00
