# Exact Riemann solution for problem: user
# Discretization: nodal
# Domain bounds: [0.00000e+00,9.00000e+00]
# Iterface position: 3.00000e+00
# Gamma: 1.66667e+00
# Left  state [dens,velx,pres]: [1.00000e+00, 0.00000e+00, 6.66667e-02]
# Right state [dens,velx,pres]: [1.00000e-03, 0.00000e+00, 6.66667e-11]
# Time: 6.00000e+00
                   x                 dens                 pres                 velx                 eint                 cspd
  0.000000000000e+00   1.000000000000e+00   6.666666700000e-02   0.000000000000e+00   9.999999550000e-02   3.333333375000e-01
  9.000000000000e-03   1.000000000000e+00   6.666666700000e-02   0.000000000000e+00   9.999999550000e-02   3.333333375000e-01
  1.800000000000e-02   1.000000000000e+00   6.666666700000e-02   0.000000000000e+00   9.999999550000e-02   3.333333375000e-01
  2.700000000000e-02   1.000000000000e+00   6.666666700000e-02   0.000000000000e+00   9.999999550000e-02   3.333333375000e-01
  3.600000000000e-02   1.000000000000e+00   6.666666700000e-02   0.000000000000e+00   9.999999550000e-02   3.333333375000e-01
  4.500000000000e-02   1.000000000000e+00   6.666666700000e-02   0.000000000000e+00   9.999999550000e-02   3.333333375000e-01
  5.400000000000e-02   1.000000000000e+00   6.666666700000e-02   0.000000000000e+00   9.999999550000e-02   3.333333375000e-01
  6.300000000000e-02   1.000000000000e+00   6.666666700000e-02   0.000000000000e+00   9.999999550000e-02   3.333333375000e-01
  7.200000000000e-02   1.000000000000e+00   6.666666700000e-02   0.000000000000e+00   9.999999550000e-02   3.333333375000e-01
  8.100000000000e-02   1.000000000000e+00   6.666666700000e-02   0.000000000000e+00   9.999999550000e-02   3.333333375000e-01
  9.000000000000e-02   1.000000000000e+00   6.666666700000e-02   0.000000000000e+00   9.999999550000e-02   3.333333375000e-01
  9.900000000000e-02   1.000000000000e+00   6.666666700000e-02   0.000000000000e+00   9.999999550000e-02   3.333333375000e-01
  1.080000000000e-01   1.000000000000e+00   6.666666700000e-02   0.000000000000e+00   9.999999550000e-02   3.333333375000e-01
  1.170000000000e-01   1.000000000000e+00   6.666666700000e-02   0.000000000000e+00   9.999999550000e-02   3.333333375000e-01
  1.260000000000e-01   1.000000000000e+00   6.666666700000e-02   0.000000000000e+00   9.999999550000e-02   3.333333375000e-01
  1.350000000000e-01   1.000000000000e+00   6.666666700000e-02   0.000000000000e+00   9.999999550000e-02   3.333333375000e-01
  1.440000000000e-01   1.000000000000e+00   6.666666700000e-02   0.000000000000e+00   9.999999550000e-02   3.333333375000e-01
  1.530000000000e-01   1.000000000000e+00   6.666666700000e-02   0.000000000000e+00   9.999999550000e-02   3.333333375000e-01
  1.620000000000e-01   1.000000000000e+00   6.666666700000e-02   0.000000000000e+00   9.999999550000e-02   3.333333375000e-01
  1.710000000000e-01   1.000000000000e+00   6.666666700000e-02   0.000000000000e+00   9.999999550000e-02   3.333333375000e-01
  1.800000000000e-01   1.000000000000e+00   6.666666700000e-02   0.000000000000e+00   9.999999550000e-02   3.333333375000e-01
  1.890000000000e-01   1.000000000000e+00   6.666666700000e-02   0.000000000000e+00   9.999999550000e-02   3.333333375000e-01
  1.980000000000e-01   1.000000000000e+00   6.666666700000e-02   0.000000000000e+00   9.999999550000e-02   3.333333375000e-01
  2.070000000000e-01   1.000000000000e+00   6.666666700000e-02   0.000000000000e+00   9.999999550000e-02   3.333333375000e-01
  2.160000000000e-01   1.000000000000e+00   6.666666700000e-02   0.000000000000e+00   9.999999550000e-02   3.333333375000e-01
  2.250000000000e-01   1.000000000000e+00   6.666666700000e-02   0.000000000000e+00   9.999999550000e-02   3.333333375000e-01
  2.340000000000e-01   1.000000000000e+00   6.666666700000e-02   0.000000000000e+00   9.999999550000e-02   3.333333375000e-01
  2.430000000000e-01   1.000000000000e+00   6.666666700000e-02   0.000000000000e+00   9.999999550000e-02   3.333333375000e-01
  2.520000000000e-01   1.000000000000e+00   6.666666700000e-02   0.000000000000e+00   9.999999550000e-02   3.333333375000e-01
  2.610000000000e-01   1.000000000000e+00   6.666666700000e-02   0.000000000000e+00   9.999999550000e-02   3.333333375000e-01
  2.700000000000e-01   1.000000000000e+00   6.666666700000e-02   0.000000000000e+00   9.999999550000e-02   3.333333375000e-01
  2.790000000000e-01   1.000000000000e+00   6.666666700000e-02   0.000000000000e+00   9.999999550000e-02   3.333333375000e-01
  2.880000000000e-01   1.000000000000e+00   6.666666700000e-02   0.000000000000e+00   9.999999550000e-02   3.333333375000e-01
  2.970000000000e-01   1.000000000000e+00   6.666666700000e-02   0.000000000000e+00   9.999999550000e-02   3.333333375000e-01
  3.060000000000e-01   1.000000000000e+00   6.666666700000e-02   0.000000000000e+00   9.999999550000e-02   3.333333375000e-01
  3.150000000000e-01   1.000000000000e+00   6.666666700000e-02   0.000000000000e+00   9.999999550000e-02   3.333333375000e-01
  3.240000000000e-01   1.000000000000e+00   6.666666700000e-02   0.000000000000e+00   9.999999550000e-02   3.333333375000e-01
  3.330000000000e-01   1.000000000000e+00   6.666666700000e-02   0.000000000000e+00   9.999999550000e-02   3.333333375000e-01
  3.420000000000e-01   1.000000000000e+00   6.666666700000e-02   0.000000000000e+00   9.999999550000e-02   3.333333375000e-01
  3.510000000000e-01   1.000000000000e+00   6.666666700000e-02   0.000000000000e+00   9.999999550000e-02   3.333333375000e-01
  3.600000000000e-01   1.000000000000e+00   6.666666700000e-02   0.000000000000e+00   9.999999550000e-02   3.333333375000e-01
  3.690000000000e-01   1.000000000000e+00   6.666666700000e-02   0.000000000000e+00   9.999999550000e-02   3.333333375000e-01
  3.780000000000e-01   1.000000000000e+00   6.666666700000e-02   0.000000000000e+00   9.999999550000e-02   3.333333375000e-01
