Points_0,Points_1,Points_2,Points_Magnitude,Solution,arc_length,Point ID,vtkValidPointMask
-1,0,0,1,-0.704904,0,0,1
-0.998,0,0,0.998,-0.699945,0.00199997,1,1
-0.996,0,0,0.996,-0.694985,0.00400001,2,1
-0.994,0,0,0.994,-0.690026,0.00599998,3,1
-0.992,0,0,0.992,-0.685066,0.00800002,4,1
-0.99,0,0,0.99,-0.680107,0.00999999,5,1
-0.988,0,0,0.988,-0.675147,0.012,6,1
-0.986,0,0,0.986,-0.670187,0.014,7,1
-0.984,0,0,0.984,-0.665228,0.016,8,1
-0.982,0,0,0.982,-0.660268,0.018,9,1
-0.98,0,0,0.98,-0.655309,0.02,10,1
-0.978,0,0,0.978,-0.650349,0.022,11,1
-0.976,0,0,0.976,-0.64539,0.024,12,1
-0.974,0,0,0.974,-0.64043,0.026,13,1
-0.972,0,0,0.972,-0.63547,0.028,14,1
-0.97,0,0,0.97,-0.630511,0.03,15,1
-0.968,0,0,0.968,-0.625551,0.032,16,1
-0.966,0,0,0.966,-0.620592,0.034,17,1
-0.964,0,0,0.964,-0.615632,0.036,18,1
-0.962,0,0,0.962,-0.610673,0.038,19,1
-0.96,0,0,0.96,-0.605713,0.04,20,1
-0.958,0,0,0.958,-0.600753,0.042,21,1
-0.956,0,0,0.956,-0.595794,0.044,22,1
-0.954,0,0,0.954,-0.590834,0.046,23,1
-0.952,0,0,0.952,-0.585875,0.048,24,1
-0.95,0,0,0.95,-0.580915,0.05,25,1
-0.948,0,0,0.948,-0.575955,0.052,26,1
-0.946,0,0,0.946,-0.570996,0.054,27,1
-0.944,0,0,0.944,-0.566036,0.056,28,1
-0.942,0,0,0.942,-0.561077,0.058,29,1
-0.94,0,0,0.94,-0.556117,0.06,30,1
-0.938,0,0,0.938,-0.551158,0.062,31,1
-0.936,0,0,0.936,-0.546198,0.064,32,1
-0.934,0,0,0.934,-0.541238,0.066,33,1
-0.932,0,0,0.932,-0.533986,0.068,34,1
-0.93,0,0,0.93,-0.525587,0.07,35,1
-0.928,0,0,0.928,-0.517188,0.072,36,1
-0.926,0,0,0.926,-0.50879,0.074,37,1
-0.924,0,0,0.924,-0.500391,0.076,38,1
-0.922,0,0,0.922,-0.491992,0.078,39,1
-0.92,0,0,0.92,-0.483594,0.08,40,1
-0.918,0,0,0.918,-0.475195,0.082,41,1
-0.916,0,0,0.916,-0.466796,0.084,42,1
-0.914,0,0,0.914,-0.458397,0.086,43,1
-0.912,0,0,0.912,-0.449999,0.088,44,1
-0.91,0,0,0.91,-0.4416,0.09,45,1
-0.908,0,0,0.908,-0.433201,0.092,46,1
-0.906,0,0,0.906,-0.424803,0.094,47,1
-0.904,0,0,0.904,-0.416404,0.096,48,1
-0.902,0,0,0.902,-0.408005,0.098,49,1
-0.9,0,0,0.9,-0.399606,0.1,50,1
-0.898,0,0,0.898,-0.391208,0.102,51,1
-0.896,0,0,0.896,-0.382809,0.104,52,1
-0.894,0,0,0.894,-0.37441,0.106,53,1
-0.892,0,0,0.892,-0.366012,0.108,54,1
-0.89,0,0,0.89,-0.357613,0.11,55,1
-0.888,0,0,0.888,-0.349214,0.112,56,1
-0.886,0,0,0.886,-0.340815,0.114,57,1
-0.884,0,0,0.884,-0.332417,0.116,58,1
-0.882,0,0,0.882,-0.324018,0.118,59,1
-0.88,0,0,0.88,-0.315619,0.12,60,1
-0.878,0,0,0.878,-0.307221,0.122,61,1
-0.876,0,0,0.876,-0.298822,0.124,62,1
-0.874,0,0,0.874,-0.290423,0.126,63,1
-0.872,0,0,0.872,-0.282024,0.128,64,1
-0.87,0,0,0.87,-0.273626,0.13,65,1
-0.868,0,0,0.868,-0.265227,0.132,66,1
-0.866,0,0,0.866,-0.256583,0.134,67,1
-0.864,0,0,0.864,-0.247449,0.136,68,1
-0.862,0,0,0.862,-0.238315,0.138,69,1
-0.86,0,0,0.86,-0.229181,0.14,70,1
-0.858,0,0,0.858,-0.220047,0.142,71,1
-0.856,0,0,0.856,-0.210913,0.144,72,1
-0.854,0,0,0.854,-0.201779,0.146,73,1
-0.852,0,0,0.852,-0.192645,0.148,74,1
-0.85,0,0,0.85,-0.183512,0.15,75,1
-0.848,0,0,0.848,-0.174377,0.152,76,1
-0.846,0,0,0.846,-0.165244,0.154,77,1
-0.844,0,0,0.844,-0.156109,0.156,78,1
-0.842,0,0,0.842,-0.146976,0.158,79,1
-0.84,0,0,0.84,-0.137841,0.16,80,1
-0.838,0,0,0.838,-0.128708,0.162,81,1
-0.836,0,0,0.836,-0.119574,0.164,82,1
-0.834,0,0,0.834,-0.11044,0.166,83,1
-0.832,0,0,0.832,-0.101306,0.168,84,1
-0.83,0,0,0.83,-0.0921716,0.17,85,1
-0.828,0,0,0.828,-0.0830377,0.172,86,1
-0.826,0,0,0.826,-0.0739036,0.174,87,1
-0.824,0,0,0.824,-0.0647698,0.176,88,1
-0.822,0,0,0.822,-0.0556359,0.178,89,1
-0.82,0,0,0.82,-0.0465018,0.18,90,1
-0.818,0,0,0.818,-0.0373679,0.182,91,1
-0.816,0,0,0.816,-0.0282338,0.184,92,1
-0.814,0,0,0.814,-0.0190999,0.186,93,1
-0.812,0,0,0.812,-0.00996581,0.188,94,1
-0.81,0,0,0.81,-0.00083195,0.19,95,1
-0.808,0,0,0.808,0.00830191,0.192,96,1
-0.806,0,0,0.806,0.017436,0.194,97,1
-0.804,0,0,0.804,0.0265699,0.196,98,1
-0.802,0,0,0.802,0.035704,0.198,99,1
-0.8,0,0,0.8,0.0448379,0.2,100,1
-0.798,0,0,0.798,0.0528802,0.202,101,1
-0.796,0,0,0.796,0.0609223,0.204,102,1
-0.794,0,0,0.794,0.0689644,0.206,103,1
-0.792,0,0,0.792,0.0770067,0.208,104,1
-0.79,0,0,0.79,0.0850488,0.21,105,1
-0.788,0,0,0.788,0.0930911,0.212,106,1
-0.786,0,0,0.786,0.101133,0.214,107,1
-0.784,0,0,0.784,0.109176,0.216,108,1
-0.782,0,0,0.782,0.117218,0.218,109,1
-0.78,0,0,0.78,0.12526,0.22,110,1
-0.778,0,0,0.778,0.133302,0.222,111,1
-0.776,0,0,0.776,0.141344,0.224,112,1
-0.774,0,0,0.774,0.149386,0.226,113,1
-0.772,0,0,0.772,0.157429,0.228,114,1
-0.77,0,0,0.77,0.165471,0.23,115,1
-0.768,0,0,0.768,0.173513,0.232,116,1
-0.766,0,0,0.766,0.181555,0.234,117,1
