Points_0,Points_1,Points_2,Points_Magnitude,Solution,arc_length,Point ID,vtkValidPointMask
-0.76,0,0,0.76,-0.00808015,0.24,120,1
-0.758,0,0,0.758,-0.0129479,0.242,121,1
-0.756,0,0,0.756,-0.0178158,0.244,122,1
-0.754,0,0,0.754,-0.0226836,0.246,123,1
-0.752,0,0,0.752,-0.0275515,0.248,124,1
-0.75,0,0,0.75,-0.0324193,0.25,125,1
-0.748,0,0,0.748,-0.037287,0.252,126,1
-0.746,0,0,0.746,-0.0421549,0.254,127,1
-0.744,0,0,0.744,-0.0470227,0.256,128,1
-0.742,0,0,0.742,-0.0518906,0.258,129,1
-0.74,0,0,0.74,-0.0567584,0.26,130,1
-0.738,0,0,0.738,-0.0616263,0.262,131,1
-0.736,0,0,0.736,-0.066494,0.264,132,1
-0.734,0,0,0.734,-0.0713618,0.266,133,1
-0.732,0,0,0.732,-0.0754622,0.268,134,1
-0.73,0,0,0.73,-0.0791787,0.27,135,1
-0.728,0,0,0.728,-0.0828953,0.272,136,1
-0.726,0,0,0.726,-0.0866118,0.274,137,1
-0.724,0,0,0.724,-0.0903284,0.276,138,1
-0.722,0,0,0.722,-0.0940449,0.278,139,1
-0.72,0,0,0.72,-0.0977614,0.28,140,1
-0.718,0,0,0.718,-0.101478,0.282,141,1
-0.716,0,0,0.716,-0.105195,0.284,142,1
-0.714,0,0,0.714,-0.108911,0.286,143,1
-0.712,0,0,0.712,-0.112628,0.288,144,1
-0.71,0,0,0.71,-0.116344,0.29,145,1
-0.708,0,0,0.708,-0.120061,0.292,146,1
-0.706,0,0,0.706,-0.123777,0.294,147,1
-0.704,0,0,0.704,-0.127494,0.296,148,1
-0.702,0,0,0.702,-0.13121,0.298,149,1
-0.7,0,0,0.7,-0.134927,0.3,150,1
-0.698,0,0,0.698,-0.138644,0.302,151,1
-0.696,0,0,0.696,-0.14236,0.304,152,1
-0.694,0,0,0.694,-0.146077,0.306,153,1
-0.692,0,0,0.692,-0.149793,0.308,154,1
-0.69,0,0,0.69,-0.15351,0.31,155,1
-0.688,0,0,0.688,-0.157226,0.312,156,1
-0.686,0,0,0.686,-0.160943,0.314,157,1
-0.684,0,0,0.684,-0.164659,0.316,158,1
-0.682,0,0,0.682,-0.168376,0.318,159,1
-0.68,0,0,0.68,-0.172093,0.32,160,1
-0.678,0,0,0.678,-0.175809,0.322,161,1
-0.676,0,0,0.676,-0.179526,0.324,162,1
-0.674,0,0,0.674,-0.183242,0.326,163,1
-0.672,0,0,0.672,-0.186959,0.328,164,1
-0.67,0,0,0.67,-0.190675,0.33,165,1
-0.668,0,0,0.668,-0.194392,0.332,166,1
-0.666,0,0,0.666,-0.19776,0.334,167,1
-0.664,0,0,0.664,-0.200433,0.336,168,1
-0.662,0,0,0.662,-0.203105,0.338,169,1
-0.66,0,0,0.66,-0.205777,0.34,170,1
-0.658,0,0,0.658,-0.208449,0.342,171,1
-0.656,0,0,0.656,-0.211122,0.344,172,1
-0.654,0,0,0.654,-0.213794,0.346,173,1
-0.652,0,0,0.652,-0.216466,0.348,174,1
-0.65,0,0,0.65,-0.219139,0.35,175,1
-0.648,0,0,0.648,-0.221811,0.352,176,1
-0.646,0,0,0.646,-0.224483,0.354,177,1
-0.644,0,0,0.644,-0.227155,0.356,178,1
-0.642,0,0,0.642,-0.229828,0.358,179,1
-0.64,0,0,0.64,-0.2325,0.36,180,1
-0.638,0,0,0.638,-0.235172,0.362,181,1
-0.636,0,0,0.636,-0.237844,0.364,182,1
-0.634,0,0,0.634,-0.240517,0.366,183,1
-0.632,0,0,0.632,-0.243189,0.368,184,1
-0.63,0,0,0.63,-0.245861,0.37,185,1
-0.628,0,0,0.628,-0.248533,0.372,186,1
-0.626,0,0,0.626,-0.251206,0.374,187,1
-0.624,0,0,0.624,-0.253878,0.376,188,1
-0.622,0,0,0.622,-0.25655,0.378,189,1
-0.62,0,0,0.62,-0.259223,0.38,190,1
-0.618,0,0,0.618,-0.261895,0.382,191,1
-0.616,0,0,0.616,-0.264567,0.384,192,1
-0.614,0,0,0.614,-0.267239,0.386,193,1
-0.612,0,0,0.612,-0.269912,0.388,194,1
-0.61,0,0,0.61,-0.272584,0.39,195,1
-0.608,0,0,0.608,-0.275256,0.392,196,1
-0.606,0,0,0.606,-0.277928,0.394,197,1
-0.604,0,0,0.604,-0.280601,0.396,198,1
-0.602,0,0,0.602,-0.283273,0.398,199,1
-0.6,0,0,0.6,-0.285945,0.4,200,1
-0.598,0,0,0.598,-0.287678,0.402,201,1
-0.596,0,0,0.596,-0.289411,0.404,202,1
-0.594,0,0,0.594,-0.291145,0.406,203,1
-0.592,0,0,0.592,-0.292878,0.408,204,1
-0.59,0,0,0.59,-0.294611,0.41,205,1
-0.588,0,0,0.588,-0.296344,0.412,206,1
-0.586,0,0,0.586,-0.298077,0.414,207,1
-0.584,0,0,0.584,-0.299811,0.416,208,1
-0.582,0,0,0.582,-0.301544,0.418,209,1
-0.58,0,0,0.58,-0.303277,0.42,210,1
-0.578,0,0,0.578,-0.30501,0.422,211,1
-0.576,0,0,0.576,-0.306743,0.424,212,1
-0.574,0,0,0.574,-0.308476,0.426,213,1
-0.572,0,0,0.572,-0.31021,0.428,214,1
-0.57,0,0,0.57,-0.311943,0.43,215,1
-0.568,0,0,0.568,-0.313676,0.432,216,1
-0.566,0,0,0.566,-0.315409,0.434,217,1
-0.564,0,0,0.564,-0.317142,0.436,218,1
-0.562,0,0,0.562,-0.318875,0.438,219,1
-0.56,0,0,0.56,-0.320609,0.44,220,1
-0.558,0,0,0.558,-0.322342,0.442,221,1
-0.556,0,0,0.556,-0.324075,0.444,222,1
-0.554,0,0,0.554,-0.325808,0.446,223,1
-0.552,0,0,0.552,-0.327541,0.448,224,1
-0.55,0,0,0.55,-0.329274,0.45,225,1
-0.548,0,0,0.548,-0.331008,0.452,226,1
-0.546,0,0,0.546,-0.332741,0.454,227,1
-0.544,0,0,0.544,-0.334474,0.456,228,1
-0.542,0,0,0.542,-0.336207,0.458,229,1
-0.54,0,0,0.54,-0.33794,0.46,230,1
-0.538,0,0,0.538,-0.339673,0.462,231,1
-0.536,0,0,0.536,-0.341407,0.464,232,1
-0.534,0,0,0.534,-0.34314,0.466,233,1
-0.532,0,0,0.532,-0.344316,0.468,234,1
-0.53,0,0,0.53,-0.345213,0.47,235,1
-0.528,0,0,0.528,-0.346111,0.472,236,1
-0.526,0,0,0.526,-0.347008,0.474,237,1
-0.524,0,0,0.524,-0.347906,0.476,238,1
-0.522,0,0,0.522,-0.348803,0.478,239,1
-0.52,0,0,0.52,-0.349701,0.48,240,1
-0.518,0,0,0.518,-0.350598,0.482,241,1
-0.516,0,0,0.516,-0.351496,0.484,242,1
-0.514,0,0,0.514,-0.352393,0.486,243,1
-0.512,0,0,0.512,-0.353291,0.488,244,1
-0.51,0,0,0.51,-0.354188,0.49,245,1
-0.508,0,0,0.508,-0.355085,0.492,246,1
-0.506,0,0,0.506,-0.355983,0.494,247,1
-0.504,0,0,0.504,-0.35688,0.496,248,1
-0.502,0,0,0.502,-0.357778,0.498,249,1
-0.5,0,0,0.5,-0.358675,0.5,250,1
-0.498,0,0,0.498,-0.359573,0.502,251,1
-0.496,0,0,0.496,-0.36047,0.504,252,1
-0.494,0,0,0.494,-0.361368,0.506,253,1
-0.492,0,0,0.492,-0.362265,0.508,254,1
-0.49,0,0,0.49,-0.363163,0.51,255,1
-0.488,0,0,0.488,-0.36406,0.512,256,1
-0.486,0,0,0.486,-0.364958,0.514,257,1
-0.484,0,0,0.484,-0.365855,0.516,258,1
-0.482,0,0,0.482,-0.366753,0.518,259,1
-0.48,0,0,0.48,-0.36765,0.52,260,1
-0.478,0,0,0.478,-0.368548,0.522,261,1
-0.476,0,0,0.476,-0.369445,0.524,262,1
-0.474,0,0,0.474,-0.370343,0.526,263,1
-0.472,0,0,0.472,-0.37124,0.528,264,1
-0.47,0,0,0.47,-0.372138,0.53,265,1
-0.468,0,0,0.468,-0.373035,0.532,266,1
-0.466,0,0,0.466,-0.373688,0.534,267,1
-0.464,0,0,0.464,-0.373851,0.536,268,1
-0.462,0,0,0.462,-0.374015,0.538,269,1
-0.46,0,0,0.46,-0.374178,0.54,270,1
-0.458,0,0,0.458,-0.374341,0.542,271,1
-0.456,0,0,0.456,-0.374505,0.544,272,1
-0.454,0,0,0.454,-0.374668,0.546,273,1
-0.452,0,0,0.452,-0.374832,0.548,274,1
-0.45,0,0,0.45,-0.374995,0.55,275,1
-0.448,0,0,0.448,-0.375159,0.552,276,1
-0.446,0,0,0.446,-0.375322,0.554,277,1
-0.444,0,0,0.444,-0.375485,0.556,278,1
-0.442,0,0,0.442,-0.375649,0.558,279,1
-0.44,0,0,0.44,-0.375812,0.56,280,1
-0.438,0,0,0.438,-0.375976,0.562,281,1
-0.436,0,0,0.436,-0.376139,0.564,282,1
-0.434,0,0,0.434,-0.376302,0.566,283,1
-0.432,0,0,0.432,-0.376466,0.568,284,1
-0.43,0,0,0.43,-0.376629,0.57,285,1
-0.428,0,0,0.428,-0.376793,0.572,286,1
-0.426,0,0,0.426,-0.376956,0.574,287,1
