Points_0,Points_1,Points_2,Points_Magnitude,Solution,arc_length,Point ID,vtkValidPointMask
-1,0,0,1,0.509276,0,0,1
-0.998,0,0,0.998,0.512448,0.00199997,1,1
-0.996,0,0,0.996,0.515619,0.00400001,2,1
-0.994,0,0,0.994,0.51879,0.00599998,3,1
-0.992,0,0,0.992,0.521961,0.00800002,4,1
-0.99,0,0,0.99,0.525133,0.00999999,5,1
-0.988,0,0,0.988,0.528304,0.012,6,1
-0.986,0,0,0.986,0.531475,0.014,7,1
-0.984,0,0,0.984,0.534646,0.016,8,1
-0.982,0,0,0.982,0.537818,0.018,9,1
-0.98,0,0,0.98,0.540989,0.02,10,1
-0.978,0,0,0.978,0.54416,0.022,11,1
-0.976,0,0,0.976,0.547331,0.024,12,1
-0.974,0,0,0.974,0.550503,0.026,13,1
-0.972,0,0,0.972,0.553674,0.028,14,1
-0.97,0,0,0.97,0.556845,0.03,15,1
-0.968,0,0,0.968,0.560016,0.032,16,1
-0.966,0,0,0.966,0.563188,0.034,17,1
-0.964,0,0,0.964,0.566359,0.036,18,1
-0.962,0,0,0.962,0.56953,0.038,19,1
-0.96,0,0,0.96,0.572701,0.04,20,1
-0.958,0,0,0.958,0.575873,0.042,21,1
-0.956,0,0,0.956,0.579044,0.044,22,1
-0.954,0,0,0.954,0.582215,0.046,23,1
-0.952,0,0,0.952,0.585386,0.048,24,1
-0.95,0,0,0.95,0.588558,0.05,25,1
-0.948,0,0,0.948,0.591729,0.052,26,1
-0.946,0,0,0.946,0.5949,0.054,27,1
-0.944,0,0,0.944,0.598071,0.056,28,1
-0.942,0,0,0.942,0.601243,0.058,29,1
-0.94,0,0,0.94,0.604414,0.06,30,1
-0.938,0,0,0.938,0.607585,0.062,31,1
-0.936,0,0,0.936,0.610756,0.064,32,1
-0.934,0,0,0.934,0.613928,0.066,33,1
-0.932,0,0,0.932,0.621554,0.068,34,1
-0.93,0,0,0.93,0.631408,0.07,35,1
-0.928,0,0,0.928,0.641262,0.072,36,1
-0.926,0,0,0.926,0.651115,0.074,37,1
-0.924,0,0,0.924,0.660969,0.076,38,1
-0.922,0,0,0.922,0.670823,0.078,39,1
-0.92,0,0,0.92,0.680677,0.08,40,1
-0.918,0,0,0.918,0.690531,0.082,41,1
-0.916,0,0,0.916,0.700384,0.084,42,1
-0.914,0,0,0.914,0.710238,0.086,43,1
-0.912,0,0,0.912,0.720092,0.088,44,1
