Points_0,Points_1,Points_2,Points_Magnitude,Solution,arc_length,Point ID,vtkValidPointMask
-1,0,0,1,-0.265956,0,0,1
-0.998,0,0,0.998,-0.264621,0.00199997,1,1
-0.996,0,0,0.996,-0.263287,0.00400001,2,1
-0.994,0,0,0.994,-0.261952,0.00599998,3,1
-0.992,0,0,0.992,-0.260618,0.00800002,4,1
-0.99,0,0,0.99,-0.259283,0.00999999,5,1
-0.988,0,0,0.988,-0.257949,0.012,6,1
-0.986,0,0,0.986,-0.256614,0.014,7,1
-0.984,0,0,0.984,-0.25528,0.016,8,1
-0.982,0,0,0.982,-0.253945,0.018,9,1
-0.98,0,0,0.98,-0.252611,0.02,10,1
-0.978,0,0,0.978,-0.251277,0.022,11,1
-0.976,0,0,0.976,-0.249942,0.024,12,1
-0.974,0,0,0.974,-0.248608,0.026,13,1
-0.972,0,0,0.972,-0.247273,0.028,14,1
-0.97,0,0,0.97,-0.245939,0.03,15,1
-0.968,0,0,0.968,-0.244604,0.032,16,1
-0.966,0,0,0.966,-0.24327,0.034,17,1
-0.964,0,0,0.964,-0.241935,0.036,18,1
-0.962,0,0,0.962,-0.240601,0.038,19,1
-0.96,0,0,0.96,-0.239266,0.04,20,1
-0.958,0,0,0.958,-0.237932,0.042,21,1
-0.956,0,0,0.956,-0.236597,0.044,22,1
-0.954,0,0,0.954,-0.235263,0.046,23,1
-0.952,0,0,0.952,-0.233929,0.048,24,1
-0.95,0,0,0.95,-0.232594,0.05,25,1
-0.948,0,0,0.948,-0.23126,0.052,26,1
-0.946,0,0,0.946,-0.229925,0.054,27,1
-0.944,0,0,0.944,-0.228591,0.056,28,1
-0.942,0,0,0.942,-0.227256,0.058,29,1
-0.94,0,0,0.94,-0.225922,0.06,30,1
-0.938,0,0,0.938,-0.224587,0.062,31,1
-0.936,0,0,0.936,-0.223253,0.064,32,1
-0.934,0,0,0.934,-0.221918,0.066,33,1
-0.932,0,0,0.932,-0.220636,0.068,34,1
-0.93,0,0,0.93,-0.219379,0.07,35,1
-0.928,0,0,0.928,-0.218123,0.072,36,1
-0.926,0,0,0.926,-0.216867,0.074,37,1
-0.924,0,0,0.924,-0.21561,0.076,38,1
-0.922,0,0,0.922,-0.214354,0.078,39,1
-0.92,0,0,0.92,-0.213098,0.08,40,1
-0.918,0,0,0.918,-0.211841,0.082,41,1
-0.916,0,0,0.916,-0.210585,0.084,42,1
-0.914,0,0,0.914,-0.209328,0.086,43,1
-0.912,0,0,0.912,-0.208072,0.088,44,1
-0.91,0,0,0.91,-0.206816,0.09,45,1
-0.908,0,0,0.908,-0.205559,0.092,46,1
-0.906,0,0,0.906,-0.204303,0.094,47,1
